Name,Frequency
Afasa,1
Afu,1
Ainalani,1
Akeakami,1
Ala'i,1
Aleki,1
Alepati,1
Alesana,1
Amosa,1
Aneterea,1
Apa,1
Apelu,1
Apineru,1
Apisaloma,1
Aputi,1
Arona,1
Atamu,1
Atini,1
Elekana,1
Eli,1
Elia,1
Elisaia,1
Elisara,1
Enele,1
Esekielu,1
Esera,1
Etano,1
Etena,1
Falaniko,1
Falelauli'i,1
Falevalu,1
Faresa,1
Fatu,2
Feleti,1
Fiti,3
Hawea,1
Hemana,1
Henare,1
Iakopo,1
Iareto,1
Iasona,1
Iese,1
Ietero,1
Ioelu,1
Iona,1
Ionatana,1
Iosefa,1
Iosia,1
Iosua,1
Ira,1
Isaako,1
Isaia,1
Iuta,1
Kainano,1
Kaisara,1
Kalepo,1
Kaperielu,1
Kiliona,1
Kisona,1
Kitiona,1
Kiuga,1
Kuresa,1
Lagi,1
Laki,1
Lalo,1
Lasalo,1
Leasu,1
Levi,2
Losi,1
Loto,1
Malosi,1
Manuia,1
Mareko,1
Mariota,1
Mataio,1
Mo'e,1
Natano,1
Niko,1
Nikotemo,1
Nu'u,1
Nunu,1
Ofo,1
Omeri,1
Pati,2
Patolomaio,1
Peni,1
Peniamina,1
Pili,1
Pisa,1
Pita,1
Pu'a,1
Rangi,1
Reupena,1
Sailo,1
Saipele,1
Salema,1
Samasoni,1
Samuelu,1
Saulo,1
Setu,1
Siaki,1
Siali,1
Siaosi,1
Sila,1
Simi,1
Siona,1
Sione,1
Solomona,1
Tala,1
Tamasese,1
Tamati,1
Tamotu,1
Tanielu,1
Tapu,1
Tariua,1
Tasura,1
Tataio,1
Tau,1
Taua,1
Tavita,1
Temetiu,1
Timoteo,1
Toa,1
Toma,1
Ualese,1
Ualesi,1
Vai,2
Viliamu,1
