Name,Frequency
Afakasi,1
Afamasaga,1
Ala'ilima,1
Alofipo,1
Alovili,1
Anae,1
Apatu,1
Asau,1
Asiata,1
Asoau,1
Ausage,1
Autagavaia,1
Enesi,1
Esera,1
Fa'amoe,1
Faamate,1
Faamoana,1
Faasoo,1
Faatasi,1
Fainu'u,1
Falagi,1
Faleafa,1
Fanaafi,1
Fanene,1
Faraimo,1
Faresa,1
Fepuleai,1
Feresa,1
Fiso,1
Foai,1
Fualema,1
Fuga,2
Fuima,1
Galuvao,1
Ierome,1
Ioane,1
Isaia,1
Kuresa,1
Latu,1
Lavea,1
Le'au,1
Lea'ai,1
Leapai,1
Leapama,1
Lemalu,1
Leniu,1
Leoso,1
Levaai,1
Levaopolo,1
Lofipo,1
Lotomau,1
Lotulelei,1
Maiava,1
Malaitai,1
Malemo,1
Manaia,1
Matautia,1
Maugatai,1
Maulalo,1
Multiauaopele,2
Naea,1
Nanai,1
Niko,1
Paea,1
Palamo,1
Papani,1
Pelesa,1
Perelini,1
Pule,1
Sale,1
Salesa,1
Saluni,1
Sapani,1
Sativaa,1
Savali,1
Savaliga,1
Savea,1
Seiuli,1
Seko,1
Seuava,1
Sifu,1
Silao,1
Siosifa,1
Siulai,1
Suega,1
Taalitua,1
Taito,1
Talatonu,1
Tamatoa,1
Tameifuna,1
Tanielu,1
Tau,1
Tauaalo,1
Taualai,1
Tauati,1
Taueu,1
Taupo,2
Tautu,1
Tele,1
Tilo,1
Timu,1
Toelau,1
Tonumaipe'a,1
Tuala,1
Tufele,1
Tui,1
Tuiaa,1
Tuiasosopo,1
Tuigamala,1
Tuitama,1
Tupu,1
Tupua,1
Tuputala,1
Uta'i,1
Vailili,1
Vavau,1
