Name,Frequency
Smith,64
Brown,46
Wilson,43
Campbell,38
Thomson,38
Roberton,38
Stewart,36
Anderson,34
Scott,27
MacDonald,27
Murray,26
Reid,26
Taylor,24
Clark,23
Ross,21
Morrison,20
Young,20
Mitchell,20
Young,20
Paterson,20
Watson,20
Walker,19
Fraser,19
Miller,18
Henderson,18
Graham,18
Davidson,17
Gray,17
Hamilton,17
Johnston,17
McDonald,17
Cameron,17
Duncan,17
Kerr,17
Martin,16
Hunter,16
Ferguson,16
Bell,16
Simpson,16
Grant,15
Kelly,15
Allan,15
MacKenzie,15
MacLeod,14
Black,13
MacKay,13
McLean,13
Russell,12
Marshall,12
Gibson,12
Wallance,12
Kennedy,12
Gordon,11
Sutherland,11
Milne,11
Burns,11
Wright,11
Stevenson,10
Wood,10
Craig,10
Johnstone,10
Muir,10
Watt,10
Munro,10
Murphy,10
Sinclair,10
Hughes,9
Ritchie,9
Jones,9
McKay,9
Armstrong,9
McGregor,9
McGinn,9
McTominay,9
