Name,Frequency
Ján,281
Jozef,261
Štefan,129
Peter,129
Michal,88
Milan,83
Pavol,79
František,77
Ladislav,68
Juraj,67
Miroslav,66
Vladimír,56
Martin,51
Ondrej,45
Jaroslav,43
Anton,41
Andrej,38
Dušan,35
Ivan,34
Pavel,34
Stanislav,32
Ľubomír,28
Rudolf,27
Imrich,22
Július,22
Tibor,22
Ľudovít,21
Tomáš,21
Jan,20
Alexander,20
Marek,19
Vojtech,17
Emil,17
Viliam,16
Roman,15
Róbert,15
Vincent,13
Daniel,13
Gabriel,12
Mikuláš,11
Zoltán,11
Miloš,11
Rastislav,11
Matej,10
Ľuboš,9
Alojz,9
Stefan,9
Branislav,8
Viktor,8
Eduard,8
Frantisek,7
Slavomír,6
Richard,5
Gejza,5
Robert,5
Matúš,5
Marcel,5
Radoslav,5
Adam,5
Ferdinand,5
Ernest,5
Patrik,4
Dezider,4
Cyril,4
Eugen,4
Lukáš,4
Koloman,4
Augustín,4
Vladimir,4
Jakub,4
Ignác,4
Kamil,4
Zdenko,4
Dominik,3
Attila,3
