Name,Frequency
Varga,14
Kováč,13
Nagy,12
Tóth,11
Horváth,9
Molnár,6
Szabó,6
Baláž,5
Hudák,5
Novák,4
Lukáč,4
Kollár,4
Kovács,4
Oravec,4
Polák,4
Gajdoš,4
Németh,3
Šimko,3
Kováčik,3
Urban,3
Hudec,3
Pavlík,3
Lacko,3
Mikula,3
Kiss,3
Fekete,3
Szabo,3
Marko,2
Sabol,2
Sedlák,2
Takáč,2
Macko,2
Zeman,2
Ševčík,2
Balog,2
Sabo,2
Ďuriš,2
Švec,2
Mészáros,2
Rusnák,2
Farkaš,2
Králik,2
Leško,2
Kučera,2
Beňo,2
Hric,2
Benko,2
Petrík,2
Toth,2
Straka,2
Bartoš,2
Chovanec,2
Tkáč,2
Tkáč,2
Lipták,2
Sýkora,2
Baran,2
Lengyel,2
Takács,2
Veselovský,2
Bednár,2
Nemec,2
Horňák,2
Danko,2
Bodnár,2
Kolesár,2
Ivan,2
Kmeť,2
Mráz,2
Vaško,2
Balogh,2
Rybár,2
Wolf,2
Vrábel,2
Slávik,2
