Name,Frequency
Franc,28
Janez,25
Marko,21
Ivan,21
Andrej,21
Anton,21
Jožef,18
Jože,17
Luka,15
Peter,15
Matej,15
Marjan,15
Tomaž,14
Milan,13
Aleš,13
Branko,12
Robert,12
Bojan,12
Rok,12
Boštjan,12
Gregor,12
Matjaž,11
Miha,11
Stanislav,11
Martin,10
David,10
Igor,10
Dejan,10
Jan,10
Boris,9
Dušan,9
Jure,9
Nejc,9
Žiga,9
Alojz,8
Uroš,8
Mitja,8
Blaž,8
Simon,8
Žan,8
Matic,7
Klemen,7
Darko,7
Jernej,7
Primož,7
Aleksander,6
Drago,6
Gašper,6
Anže,6
Jaka,6
Miran,6
Tadej,6
Denis,6
Aljaž,6
Roman,6
Jakob,6
Štefan,6
Nik,5
Borut,5
Damjan,5
Vladimir,5
Matija,5
Srečko,5
Slavko,5
Janko,5
Tilen,4
Mirko,4
Alen,4
Zoran,4
Filip,4
Miroslav,4
Domen,4
Danijel,4
Goran,4
Vid,4
