Name,Frequency
Novak,15
Horvat,13
Krajnc,7
Kovačič,7
Zupančič,6
Potočnik,6
Kovač,6
Mlakar,5
Kos,5
Golob,5
Vidmar,5
Turk,4
Božič,4
Kralj,4
Korošec,4
Bizjak,4
Zupan,4
Kotnik,4
Hribar,4
Kavčič,4
Rozman,4
Oblak,3
Petek,3
Kolar,3
Kastelic,3
Žagar,3
Hočevar,3
Košir,3
Koren,3
Klemenčič,3
Zajc,3
Knez,3
Medved,3
Zupanc,2
Petrič,2
Pirc,2
Hrovat,2
Lah,2
Pavlič,2
Kuhar,2
Zorko,2
Tomažič,2
Uršič,2
Babič,2
Erjavec,2
Jerman,2
Sever,2
Jereb,2
Kranjc,2
Majcen,2
Furlan,2
Pušnik,2
Rupnik,2
Breznik,2
Lesjak,2
Perko,2
Kovačević,2
Dolenc,2
Logar,2
Jenko,2
Močnik,2
Milič,1
Vujačić,1
Zakelj,1
Cančar,1
Dragić,1
Dončić,1
Blažič,1
Balažic,1
Udrih,1
Tomić,1
Sebic,1
Muric,1
Lapornik,1
Lorbek,1
