Name,Frequency
Adam,2
Ade,1
Adiel,1
Adriaan,1
Ajani,1
Akhona,1
Alake,1
Andile,1
Barke,1
Bast,1
Ben,2
Bern,1
Bonginkosi,1
Buzwe,1
Cebo,1
Christo,1
Dalumzi,1
Dengana,1
Dian,1
Eon,1
Erco,1
Esihle,1
Fezile,1
Fikile,1
Francois,1
Gerhardus,1
Hanru,1
Heinrich,1
Helouise,1
Henrico,1
Igmar,1
Imka,1
Isabeau,1
Jaco,1
Jaivyn,1
Janco,1
Jaun,1
Johan,2
Jonnie,1
Kaikara,1
Kaikura,1
Kian,1
Kores,1
Langa,1
Leeto,1
Lifa,1
Lihan,1
Louw,1
Luan,1
Lubabalo,1
Lundi,1
Luxolo,1
Lwazi,1
Maghiel,1
Mandla,1
Marick,1
Matanzima,1
Matthys,1
Mbingeleli,1
Mkhuseli,1
Morne,1
Mpendulo,1
Mpumelelo,1
Mthobeli,1
Mthunzi,1
Ndothusile,1
Nkululeko,1
Nyameko,1
Phakamile,1
Phaphama,1
Phillippus,1
Phumzile,1
Qondile,1
Renier,1
Ricus,1
Ruben,1
Rudi,1
Rynold,1
Sabelo,1
Samkelo,1
Schalk,1
Shakir,1
Sidima,1
Sinelizwi,1
Siphelele,1
Sizamile,1
Songezo,1
Swazi,1
Thamsanqa,1
Thandisizwe,1
Thanduxolo,1
Thys,1
Tiaan,1
Tyelovuyo,1
Tyrese,2
Unys,1
Vile,1
Viwe,1
Wikus,1
Xolani,1
Zakhele,1
Zaminkosi,1
Zander,2
Zea,1
Zukile,1
