Name,Frequency
Adriaanse,2
Anderson,1
Baatjies,1
Badenhorst,1
Barnard,1
Biko,1
Blignaut,1
Booi,1
Bosman,1
Britz,1
Brown,1
Bungu,2
Cilliers,1
Dana,1
Dandala,1
Degenaar,1
Feza,1
Fick,1
Fouche,1
Fourie,1
Gobodo,1
Green,2
Grobbelaar,1
Hani,1
Hattingh,1
Hertzog,1
Holomisa,1
Human,1
Jabavu,1
Jezile,1
Jouberts,1
King,1
Klerk,1
Koekemoer,1
Kolisi,1
Kriel,1
Kruger,1
Kubashe,2
Kuiper,1
Kwenkwe,1
Magona,1
Malinga,1
Mandela,1
Maqoma,1
Marais,1
Marshall,1
Mavuso,1
Mazwai,1
Mbalula,1
Mbizo,1
Mda,1
Mgudlwa,1
Mkutukana,1
Morkel,1
Mpangele,1
Mpumlwana,1
Msutu,1
Mtoto,1
Mvovo,1
Mxenge,1
Naude,1
Nel,1
Ngonyama,1
Ngqawana,1
Ngxanga,1
Nombembe,1
Nongxa,1
Nqakula,1
Ntini,1
Ntlokwana,1
Ntsokwana,1
Oosthuizen,1
Opperman,1
Pieterse,1
Pietersen,1
Pikisa,1
Pistorius,1
Pityana,1
Plaatjies,1
Plessis,1
Pokwana,1
Potgieter,1
Pukwana,1
Qoboza,1
Reid,1
Retief,1
Roux,1
Schoeman,1
Sigcawu,1
Sisulu,1
Sobukwe,1
Soga,1
Steenkamp,1
Swanepoel,1
Theron,1
Thompson,1
Thovela,1
Tshwete,1
Tyibilika,1
Vavi,1
Vermeulen,1
Verwoerd,1
Vosloo,1
Wessels,1
Wilson,2
