Name,Frequency
Lars,223
Per,160
Karl,152
Jan,130
Hans,115
Nils,103
Sven,97
Erik,93
Johan,92
Anders,91
Bengt,90
Carl,89
Bo,83
Mats,69
Leif,64
Björn,57
Kjell,54
Peter,53
Stig,51
Rolf,49
John,48
Daniel,42
Jonas,37
Fredrik,34
Thomas,33
Martin,31
Mikael,31
Stefan,31
Kent,30
David,27
Andreas,27
Magnus,26
Robert,25
Kurt,24
Dan,23
Sten,22
Kenril,21
Claes,21
Alf,21
Tommy,20
Marcus,19
PAtrik,19
Lennart,18
Jens,18
Göran,18
Simon,18
Joakim,18
Olof,17
Tomas,17
Bernt,17
Mattias,17
Niklas,16
Pär,16
Alexander,16
Arne,15
Åke,15
Håkan,15
Gustav,15
Michael,15
Emil,15
Christer,14
Gunnar,14
Robin,14
Bror,14
Kim,13
Christian,13
Klas,13
Tobias,12
Paul,11
Anton,11
Roger,11
Eric,11
Jesper,11
Bertil,11
Knut,11
