Name,Frequency
Johansson,293
Andersson,293
Karlsson,220
Nilsson,199
Eriksson,158
Larsson,145
Olsson,125
Persson,125
Svensson,120
Gustafsson,83
Pettersson,76
Jonsson,66
Jansson,57
Hansson,51
Bengtsson,40
Carlsson,39
Jönsson,35
Petersson,35
Lindberg,32
Magnusson,32
Gustavsson,31
Olofsson,29
Lindgren,27
Lindström,27
Axelsson,27
Lundberg,25
Lundgren,25
Berg,24
Jakobsson,23
Bergström,23
Berglund,23
Fredriksson,21
Sandberg,21
Mattsson,21
Henriksson,20
Forsberg,19
Lindqvist,19
Danielsson,18
Eklund,18
Lundin,18
Lind,18
Sjöberg,18
Gunnarsson,17
Holm,17
Engström,17
Håkansson,17
Bergman,17
Samuelsson,17
Fransson,17
Johnsson,16
Holmberg,16
Lundqvist,16
Arvidsson,15
Wallin,15
Nyberg,15
Isaksson,15
Nyström,15
Söderberg,14
Björk,14
Eliasson,14
Mårtensson,13
Berggren,13
Nordström,13
Lundström,13
Nordin,13
Hermansson,13
Holmgren,12
Björklund,12
Sundberg,12
Hedlund,12
Sandström,12
Ström,12
Martinsson,11
Åberg,11
Ekström,11
Dahlberg,11
Abrahamsson,11
Sjögren,11
Blom,11
Lindholm,10
Blomqvist,10
Norberg,10
Ek,10
Jonasson,10
Månsson,10
Ivarsson,10
Andreasson,10
Hellström,10
Öberg,10
Falk,10
Nyman,10
Strömberg,10
Åkesson,10
Ali,10
Dahl,10
Sundström,10
Bergqvist,10
Lund,9
Åström,9
Hallberg,9
Josefsson,9
Palm,9
Löfgren,9
Göransson,9
Söderström,9
Englund,9
Borg,9
Davidsson,9
Ottosson,9
Jensen,9
Ekman,9
Lindblom,9
Adolfsson,9
Lindahl,9
Hansen,9
Nygren,9
Stenberg,9
Skoglund,8
Hedberg,8
Strand,8
Friberg,8
Möller,8
Boström,8
Börjesson,8
Söderlund,8
Strandberg,8
Sjöström,8
Erlandsson,8
Ericsson,8
Holmström,8
Bäckström,8
Höglund,8
Rosén,8
Claesson,8
Johannesson,8
Edlund,8
Malm,8
Aronsson,7
Haglund,7
Björkman,7
Nielsen,7
Dahlgren,7
Knutsson,7
Moberg,7
Melin,7
Viklund,7
Roos,7
Sundqvist,7
Wikström,7
Lilja,7
Holmqvist,7
Blomberg,7
Ohlsson,7
Ahmed,7
Lindén,7
Vikström,7
Östlund,7
Alm,7
Norén,7
Olausson,7
Sundin,6
Franzén,6
Hedman,6
Lindell,6
Lundmark,6
Oskarsson,6
Pålsson,6
Dahlström,6
Jacobsson,6
Högberg,6
Wiklund,6
Öhman,6
Paulsson,6
Nord,6
Lindblad,6
Ljungberg,6
Boman,6
Molin,6
Sjödin,6
Linder,6
Ljung,6
Hedström,6
Malmberg,6
Ekberg,6
Sköld,6
Hellberg,6
Norman,6
Hagström,6
Pedersen,6
Ståhl,5
Lindh,5
Svärd,5
Berntsson,5
Hjalmarsson,5
Näslund,5
Ågren,5
Augustsson,5
Forslund,5
Lindkvist,5
Asplund,5
Brandt,5
Lundkvist,5
Mohamed,5
Dahlin,5
Hedin,5
Westerlund,5
Wiberg,5
Fors,5
Hassan,5
Kristiansson,5
Marklund,5
Wahlström,5
Torstensson,5
Backman,5
Grahn,5
Törnqvist,5
Bertilsson,5
Ibrahim,5
Frisk,5
Westerberg,5
Niklasson,5
Alfredsson,5
Andersen,5
Edström,5
Nordqvist,5
Westman,5
Österberg,5
Hägglund,5
Nordlund,5
Hagberg,5
Alexandersson,5
Hall,5
Forsman,5
Ahlström,5
Lindvall,5
Ericson,5
Hjelm,5
Dahlqvist,5
Lennartsson,5
Simonsson,5
Ljunggren,5
Byström,5
Ahlberg,5
Edvardsson,4
Hagman,4
Backlund,4
Hellman,4
Bäckman,4
Lövgren,4
Granberg,4
Kjellberg,4
Levin,4
Emanuelsson,4
Klasson,4
Bergkvist,4
Larsen,4
Rydberg,4
Ahlgren,4
Skog,4
Malmström,4
Almqvist,4
Östman,4
Hallgren,4
Karlström,4
Rosengren,4
Holgersson,4
Nguyen,4
Westin,4
Antonsson,4
Sjöblom,4
Palmqvist,4
Sjöstrand,4
Ekholm,4
Svedberg,4
Hellgren,4
Krantz,4
Salomonsson,4
Sandin,4
Sahlin,4
Lindmark,4
Hammar,4
Engman,4
Westberg,4
Lantz,4
Lundell,4
Nordgren,4
Sjöholm,4
Wahlberg,4
Broberg,4
Svanberg,4
Hult,4
Wall,4
Hultman,4
Malmqvist,4
Bäck,4
Gabrielsson,4
Malmgren,4
Nylander,4
Hultgren,4
Hägg,4
Christensen,4
Åkerlund,4
Blomgren,4
Henningsson,4
Ekstrand,4
Broman,4
Rydén,4
Svahn,4
Engberg,4
Jeppsson,4
Sandgren,4
Ekelund,4
Bodin,4
Strid,4
Karlberg,4
Engdahl,3
Hussein,3
Thorén,3
Hallin,3
Asp,3
Melander,3
Haraldsson,3
Nordberg,3
Vilhelmsson,3
Sjölund,3
Helgesson,3
Andrén,3
Brännström,3
Lindskog,3
Sandell,3
Kvist,3
Israelsson,3
Burman,3
Kristensson,3
Hammarström,3
Mohammed,3
Norling,3
Vesterlund,3
Skoog,3
Östberg,3
Granström,3
Lundh,3
Olsen,3
Bohlin,3
Einarsson,3
Söderqvist,3
Forsgren,3
Linde,3
Kristoffersson,3
Lidén,3
Carlson,3
Robertsson,3
Granlund,3
Bolin,3
Norrman,3
Lindfors,3
Eklöf,3
Wennberg,3
Lindquist,3
Elofsson,3
Bylund,3
Green,3
Viberg,3
Lundquist,3
Ekdahl,3
Johnson,3
Sjöstedt,3
Edman,3
Svantesson,3
Ahlqvist,3
Blixt,3
Söderholm,3
Lundblad,3
Norgren,3
Brodin,3
Wilhelmsson,3
Granath,3
Almgren,3
Turesson,3
Landin,3
Wester,3
Häggström,3
Halvarsson,3
Forsell,3
Thulin,3
Frank,3
Borgström,3
Gren,3
Folkesson,3
Vallin,3
Werner,3
Sörensen,3
Palmgren,3
Sundell,3
Holst,3
Bergsten,3
Stark,3
Ahlin,3
