Name,Frequency
Peter,122
Hans,95
Daniel,85
Thomas,73
Walter,67
Markus,65
Martin,64
Christian,62
Urs,55
Andreas,54
Werner,52
Bruno,5
René,46
Kurt,46
Roland,45
Paul,43
Josef,43
Heinz,42
Stefan,41
Marcel,39
Ernst,39
Rolf,39
Michael,38
Patrick,35
Robert,34
Michel,33
Roger,32
André,31
Fritz,31
Marco,28
Franz,28
Rudolf,28
Philippe,27
Jürg,26
Christoph,24
Max,24
Alfred,24
Pierre,23
Antonio,23
Marc,23
David,22
Pascal,21
Karl,21
Hanspeter,21
Reto,21
Anton,19
Claude,19
Mario,18
Albert,18
Berhard,17
Olivier,16
Jean-Pierre,16
Giuseppe,16
Alain,16
Stephan,16
Erich,16
Bernard,16
Adrian,15
Erwin,15
Nicolas,15
Richard,14
Eroc,14
Jean,14
Jakob,14
Dominique,14
Matthias,14
Manuel,13
Denis,12
Fabian,11
Gregor,10
Bradley,9
Yann,8
Noah,7
Jonas,6
Filip,5
