Name,Frequency
Müller,72
Meier,51
Schmid,44
Keller,34
Weber,30
Schneider,27
Huber,26
Meyer,26
Steiner,23
Fischer,22
Baumann,20
Frei,20
Brunner,20
Gerber,20
Widmer,20
Zimmermann,19
Moser,19
Graf,18
Wyss,17
Roth,16
Suter,16
Baumgartner,15
Bachmann,15
Studer,15
Berger,14
Kaufmann,14
Kunz,14
Hofer,13
Bühler,12
Lüthi,12
Lehmann,12
Marti,12
Frey,12
Christen,12
Koch,11
Egli,11
Favre,10
Arnold,10
Pfister,10
Schweizer,10
Wüthrich,10
Fuchs,10
Martin,9
Stalder,9
Gasser,9
Peter,9
Kohler,9
Maurer,9
Koller,9
Wenger,9
Zürcher,9
Burri,9
Furrer,9
Egger,9
Hofmann,9
Michel,8
Hunziker,8
Leuenberger,8
Bieri,8
Ammann,8
Vogel,8
Hug,8
Hess,8
Tanner,8
Sutter,8
Hauser,8
Blaser,8
Rüegg,8
Hartmann,7
Schuler,7
Rey,7
Sommer,6
Capela,6
Vogt,6
Sefolosha,6
