Name,Frequency
Özgür,1
Adem,1
Bayram,1
Cemil,1
Efe,1
Kara,1
Ender,1
Aydin,1
Altuğ,1
Tayyib,1
Coşkun,1
Kadir,1
Halim,1
Tugay,1
Utku,1
Erkan,1
Bayram,1
Uğur,1
Tevrat,1
Çelik,1
Cenk,1
Kadri,1
Arslan,1
Nazar,1
Tayyar,1
Celal,1
Tekin,1
Göker,1
Duygu,1
Zeki,1
Taner,1
Tolga,1
Evren,1
Mehmet Sani,1
Hakan,1
Berk,1
Erim,1
Altan,1
Gökhan,1
Bulut,1
Baki,1
Mücahit,1
Burçin,1
Temel,1
Murat,1
Azad,1
Umut Onur,1
Adem,1
Ekber,1
Ozan,1
Asil,1
Cetin,1
Dogukan,1
Tutku,1
Toygar,1
Hikmet,1
Can,1
Ilkin,1
Hincal,1
Alparslan,1
Ulvi,1
Sultan,1
Cumhur,1
Durukan,1
Izzet,1
Hayati,1
Guney,1
Berker,1
Savas,1
Burhan,1
