Name,Frequency
Karaduman,1
Yilmaz,1
Olgun,1
Uyanik,1
Yalman,1
Giray,1
Demirci,1
Çoban,1
Tosun,1
Bugra,1
Topal,1
Yildirim,1
Aydogdu,1
Sokullu,1
Bilgin,1
Fahri,1
Armagan,1
Candan,1
Çorlu,1
Turan,1
Alisik,1
Akdari,1
Karaman,1
Altin,1
Arikan,1
Altin,1
Ugurlu,1
Baba,1
Altan,1
Boztepe,1
Yardim,1
Balci,1
Sakir,1
Kaan,1
Erim,1
Tas,1
Gul,1
Tarhan,1
Kiraç,1
Koray,1
Gulek,1
Gultekin,1
Ayranci,1
Oztoprak,1
Erdemir,1
Avni,1
Inanç,1
Özsoy,1
Saydam,1
Aydın,1
Suvari,1
Keskin,1
Yerli,1
Arman,1
Vural,1
Basturk,1
Eraydin,1
Tekeli,1
Tuna,1
Gungor,1
Memis,1
Cimen,1
Bal,1
Aygun,1
Calik,1
Akdari,1
Bora,1
Altug,1
Aldemir,1
Orbay,1
Karaman,1
Okur,1
Kahya,1
Boran,1
Kozen,1
Fraserli,1
Koca,1
Bulut,1
Dikmen,1
Cigerci,1
Turk,1
Ocak,1
Akbas,1
Dogancay,1
Hacioglu,1
Ekren,1
Avci,1
Yazar,1
Abdil,1
Ozal,1
Ozturk,1
Kocaman,1
Cengiz,1
Dogramanci,1
Erden,1
Koprulu,1
Ayhan,1
Arat,1
Ocal,1
Agca,1
Koz,1
Ergen,1
Aksu,1
Albayrak,1
Ercan,1
Cerci,1
Nas,1
Kirdar,1
Saltik,1
Kas,1
Denkel,1
Namli,1
Gorgulu,1
Elmas,1
Topbas,1
Fisek,1
Peker,1
Hulusi,1
Bilgi,1
Nazif,1
Zaim,1
Cavus,1
Aksoy,1
Yagcilar,1
Aykut,1
Akyurek,1
Kaymak,1
Deliktas,1
Basak,1
Suleymanoglu,1
Akca,1
Catli,1
Sirin,1
Hamdi,1
Unsal,1
Yesil,1
Yalcin,1
Bakkal,1
Atli,1
Ciftci,1
Akarsu,1
Candemir,1
Dalman,1
Kahveci,1
Isler,1
Akdag,1
Karasu,1
Gokbakar,1
Uslu,1
Reza,1
Karakaya,1
Enver,1
Karaca,1
Tuncel,1
Yasin,1
Aktuna,1
Kaba,1
Sarigul,1
Oncel,1
Kayyali,1
Duman,1
Altintop,1
Ekinci,1
Ergin,1
Sen,1
Sarper,1
Keles,1
Ata,1
Oktem,1
Bolat,1
Tufan,1
Kaldirim,1
Durmaz,1
Bayramoglu,1
Terzi,1
Bolukbasi,1
Kaptan,1
Karabulut,1
Emin,1
Ilkin,1
Mungan,1
Halifeoglu,1
