Name,Frequency
Jennifer,9
Tiffany,8
Danielle,7
Katie,7
Michelle,7
Andrea,6
Crystal,6
Jasmine,6
Jessica,6
Megan,6
Alexis,5
Ashley,5
Chelsea,5
Courtney,5
Lindsay,5
Nicole,5
Angie,4
Brittany,4
Brooke,4
Erin,4
Jamie,4
Kelly,4
Kelsey,4
Monique,4
Natasha,4
Nikki,4
Stephanie,4
Adrienne,3
Alex,3
Amanda,3
Amber,3
Angel,3
Carolyn,3
Erica,3
Heather,3
Jackie,3
Kara,3
Kayla,3
Kim,3
Kristen,3
Lindsey,3
Lisa,3
Monica,3
Rhonda,3
Sonja,3
Stacey,3
Stacy,3
Sydney,3
Tamara,3
Tamika,3
Tina,3
Victoria,3
Yolanda,3
Allison,2
Amy,2
Angela,2
Angelina,2
Barbara,2
Brandi,2
Breanna,2
Bria,2
Brianna,2
Brittney,2
Camille,2
Candace,2
Candice,2
Carla,2
Cierra,2
Cindy,2
Dana,2
Dawn,2
Deanna,2
Felicia,2
Gwen,2
Haley,2
Imani,2
Jenny,2
Jocelyn,2
Jordan,2
Joy,2
Kate,2
Keisha,2
Kelley,2
Kristi,2
Kristin,2
Krystal,2
Kym,2
LaToya,2
Lauren,2
Lexie,2
Maya,2
Natalie,2
Nia,2
Nicky,2
Penny,2
Rachel,2
Renee,2
Samantha,2
Shannon,2
Sophie,2
Sue,2
Sylvia,2
Tasha,2
Teana,2
Teresa,2
Tia,2
Toni,2
Tonya,2
Tracy,2
Vanessa,2
Vicki,2
Whitney,2
Yvonne,2
A'Quonesia,1
A'dia,1
A'ja,1
Aaliyah,1
Aari,1
Aaryn,1
Abi,1
Adaora,1
Adia,1
Adrian,1
Adrianne,1
Aerial,1
Aisha,1
Aiysha,1
Alaina,1
Alana,1
Aleah,1
Alicia,1
Alisa,1
Alisia,1
Alison,1
Allie,1
Allisha,1
Ally,1
Alysha,1
Alyssa,1
Ambrosia,1
Ameryst,1
Amisha,1
Anita,1
Ann,1
Anna,1
Anne,1
Anriel,1
April,1
Arella,1
Arica,1
Ariel,1
Arike,1
Armintie,1
Asia,1
Asjha,1
Avery,1
Ayana,1
Azura,1
Bashaara,1
Beatrice,1
Becky,1
Bella,1
Bernice,1
Beth,1
Bethany,1
Betnijah,1
Betty,1
Beverly,1
Blake,1
Brandy,1
Brene,1
Briana,1
Briann,1
Bridget,1
Bridgette,1
Brionna,1
Britany,1
Brittainey,1
Caity,1
Cappie,1
Cara,1
Cass,1
Cassandra,1
Cathrine,1
Cathy,1
Chamique,1
Chandi,1
Chandra,1
Chante,1
Chantel,1
Chantelle,1
Charde,1
Charel,1
Charisse,1
Charli,1
Charlotte,1
Charmin,1
Chasity,1
Chastity,1
Chay,1
Chelsey,1
Chennedy,1
Cheryl,1
Cheyenne,1
Chiney,1
Chloe,1
Chrissy,1
Christi,1
Christina,1
Christy,1
Chucky,1
Cisti,1
Claire,1
Clarissa,1
Coco,1
Coquese,1
Coretta,1
Cori,1
Corissa,1
Cornelia,1
Cynthia,1
Daedra,1
Darxia,1
Davalyn,1
Davellyn,1
DeLisha,1
DeMya,1
DeTrina,1
DeWanna,1
Dearica,1
Debbie,1
Deborah,1
Debra,1
Dee,1
Dena,1
Denique,1
Destanni,1
Destiny,1
Devereaux,1
DiDi,1
DiJonai,1
Diamond,1
Diana,1
Dominique,1
Doneeka,1
Donna,1
Dymond,1
Ebony,1
Edna,1
Edniesha,1
Edwina,1
Elaine,1
Elena,1
Elissa,1
Elizabeth,1
Emily,1
Emma,1
Epiphanny,1
Erlana,1
Essence,1
Eugenia,1
Evina,1
Feyonda,1
Fran,1
Franthea,1
Gabby,1
Gennifer,1
Georgia,1
Giuliana,1
Glory,1
Grace,1
Greta,1
Hannah,1
Heidi,1
Helen,1
Iciss,1
Ify,1
Isabelle,1
Itoro,1
Ivory,1
Jacinta,1
Jacki,1
Jaclyn,1
Jacqueline,1
Jaime,1
Jameka,1
Jamierra,1
Jamila,1
Janel,1
Janell,1
Janice,1
Jannon,1
Jantel,1
Jaylyn,1
Jayne,1
