Name,Frequency
Aleksandr,1874
Vladymyr,1660
Nykolai,1546
Serhei,1347
Yvan,1115
Vasiliy,1066
Viktor,894
Anatolyi,810
Mikhail,767
Yuriy,738
Andrei,689
Petr,530
Yhor,520
Dmytryi,491
Aleksei,486
Vitalyi,474
Oleg,440
Evhenyi,380
Valeryi,360
Roman,299
Pavel,279
Grigoriy,290
Pavel,279
Leonyd,240
Vyacheslav,183
Stepan,181
Valentin,164
Borys,154
Ruslan,151
Yaroslav,150
Maksym,143
Konstantin,140
Vadym,139
Hennadyi,136
Bohdan,133
Fedor,132
Stanislav,122
Denys,94
Heorhyi,89
Vladyslav,85
Anton,76
Arten,69
Taras,62
Eduard,57
Ylia,51
Yakov,39
Semen,35
Yosup,32
Myroslav,28
Artur,27
Rostyslav,25
Arkadyi,21
Myron,19
Yosyf,17
Hennady,16
Orest,15
Sviatoslav,14
Tymofei,13
Nazar,12
Kyrylo,11
Alexander,11
Alex,11
Denis,11
Dmytro,11
Joel,11
Kyryl,11
Grygorii,11
Sergiy,11
Arten,11
Oleksiy,11
Slava,11
Volodymyr,11
Yevgen,11
Mykhailo,11
Oleksandr,11
