Name,Frequency
Melnyk,141
Shevchenko,134
Bondarenko,116
Kovalenko,116
Baiko,108
Tkachenko,105
Kravchenko,98
Kovalchuk,91
Koval,81
Shevchuk,72
Polyshchuk,67
Bondar,65
Olyinyk,62
Yvanova,61
Lysenko,58
Moroz,58
Marchenko,57
Tkachuk,57
Savchenko,57
Rudenko,56
Petrenko,54
Klymenko,54
Pavlenko,49
Yvanov,49
Kolesnyk,47
Kravchuk,47
Kuzmenko,46
Ponomarenko,45
Savchuk,44
Vasylenko,44
Levchenko,44
Sydorenko,44
Kharchenko,43
Diachenko,42
Karpenko,41
Shvets,41
Havrylyuk,41
Lytvynenko,41
Melnychuk,40
Myroshnychenko,40
Kulyk,38
Panchenko,38
Mazur,38
Khomenko,38
Romanyuk,38
Kushnyr,37
Yurchenko,37
Popova,37
Pavlyuk,37
Tyshchenko,36
Popovych,36
Prykhodko,35
Honcharenko,35
Kostenko,35
Kolomyets,35
Kyrychenko,35
Martynyuk,35
Kostyuk,34
Nazarenko,33
Kravets,33
Belous,33
Medvedenko,33
Semenyuk,33
Romanenko,33
Potapenko,33
Fesenko,33
Nesterenko,33
Myshchenko,32
Yakovenko,32
Fedorenko,31
Zynchenko,31
Tysgankov,30
Mudyrk,30
Stepaneko,30
Mykolenko,30
Len,1
Mykhailiuk,1
