Name,Frequency
Abdulaziz,1
Abdulghafur,1
Abdullah,1
Abdulqhafur,1
Abubakir,1
Ali,1
Alisher,1
Aminjon,1
Arslon,1
Ashur,1
Ataboy,1
Aziz,1
Bakir,1
Batir,1
Bekmirza,1
Dadajon,1
Davlat,1
Dehoan,1
Elyor,1
Erwat,1
Fattah,1
Ghafur,1
Ghani,1
Ghulam,1
Hakim,1
Hamra,1
Hasan,1
Hilol,1
Holi,1
Husan,1
Ilyas,1
Jora,1
Jura,1
Kamol,1
Karim,1
Khafiz,1
Khudayberdi,1
Kimsan,1
Kodir,1
Komil,1
Latif,1
Mahkam,1
Malik,1
Mamtqul,1
Mannon,1
Manzur,1
Mirzali,1
Muhiddin,1
Munavvar,1
Murtaza,1
Musa,1
Muzafar,1
Nabi,1
Narzuqul,1
Nasiv,1
Niyaz,1
Nurmat,1
Omar,1
Onar,1
Oqil,1
Orif,1
Otkir,1
Parpi,1
Pazzaq,1
Qasim,1
Qodir,1
Rahim,1
Rahmat,1
Ruslan,1
Rustam,1
Saidjahon,1
Salim,1
Sandjar,1
Sattar,1
Shakir,1
Sharif,1
Shavkat,1
Shodman,1
Shovruk,1
Shukrulla,1
Sodyq,1
Soli,1
Sulaymon,1
Surat,1
Tahir,1
Tesha,1
Timur,1
Tohta,1
Toshmat,1
Toychi,1
Tursan,1
Tursun,1
Ulfat,1
Umid,1
Usman,1
Usmon,1
Vali,1
Yarmat,1
Yoldash,1
Yulbas,1
Yunis,1
Yusuf,1
Zahid,1
Zakir,1
Zarif,1
Zokirjan,1
