Name,Frequency
An,1
Anh,1
Bá,1
Bảo,1
Bình,1
Cao,1
Chấn,1
Chí,1
Chiêu,1
Công,1
Ðắc,1
Ðại,1
Ðăng,1
Ðạt,1
Ðình,1
Ðông,1
Ðức,1
Dũng,1
Duy,1
Gia,1
Giang,1
Hải,1
Hào,1
Hòa,1
Hoài,1
Hoàng,1
Hồng,1
Hùng,1
Hữu,1
Huy,1
Khắc,1
Khánh,1
Khôi,1
Kiên,1
Kiến,1
Kim,1
Lam,1
Lâm,1
Lập,1
Liên,1
Long,1
Mạnh,1
Minh,1
Nam,1
Nghĩa,1
Ngọc,1
Nguyên,1
Nhân,1
Nhật,1
Phú,1
Phúc,1
Phước,1
Phương,1
Quang,1
Quốc,1
Quý,1
Sơn,1
Tạ,1
Tấn,1
Thái,1
Thăng,1
Thanh,1
Thành,1
Thế,1
Thiện,1
Thiếu,1
Thiệu,1
Tiến,1
Tiểu,1
Tôn,1
Triều,1
Trọng,1
Trung,1
Trường,1
Tuấn,1
Tùng,1
Tường,1
Uy,1
Vạn,1
Việt,1
Vinh,1
Vĩnh,1
Vương,1
Xuân,1
