Name,Frequency
An,1
Ân,1
Anh,1
Bằng,1
Bảo,1
Bình,1
Cảnh,1
Cao,1
Châu,1
Chiến,1
Chính,1
Chương,1
Cương,1
Cường,1
Ðại,1
Ðan,1
Ðăng,1
Ðạt,1
Di,1
Diệu,1
Ðôn,1
Đức,1
Ðức,1
Dũng,1
Duy,1
Giang,1
Hà,1
Hải,1
Hãn,1
Hào,1
Hiền,1
Hiển,1
Hiệp,1
Hòa,1
Hoài,1
Hoàn,1
Hoàng,1
Hồng,1
Hợp,1
Hùng,1
Hưng,1
Huy,1
Huỳnh,1
Khang,1
Khanh,1
Khánh,1
Khiêm,1
Khôi,1
Kiên,1
Kiệt,1
Kỳ,1
Lâm,1
Lập,1
Lễ,1
Liêm,1
Linh,1
Lĩnh,1
Lộc,1
Long,1
Luân,1
Minh,1
Nam,1
Nghĩa,1
Nghiêm,1
Nghiệp,1
Ngọc,1
Nguyên,1
Nhân,1
Nhật,1
Phát,1
Phi,1
Phong,1
Phúc,1
Phương,1
Quân,1
Quốc,1
Quyền,1
Quyết,1
Sáng,1
Siêu,1
Sinh,1
Sơn,1
Tâm,1
Tân,1
Tấn,1
Thạc,1
Thạch,1
Thái,1
Thắng,1
Thanh,1
Thành,1
Thế,1
Thiên,1
Thiện,1
Thịnh,1
Thọ,1
Thông,1
Thống,1
Thuận,1
Tiến,1
Toàn,1
Trác,1
Trí,1
Triều,1
Triệu,1
Trình,1
Trọng,1
Trung,1
Trương,1
Trường,1
Tú,1
Tuấn,1
Tường,1
Uy,1
Vĩ,1
Việt,1
Vinh,1
Vĩnh,1
Vũ,1
