Name,Frequency
Jones,170
Davies,111
Williams,110
Evans,74
Thomas,71
Roberts,46
Lewis,40
Hughes,37
Morgan,34
Griffiths,29
Edwards,28
Smith,26
James,25
Rees,24
Owen,22
Jenkins,20
Price,20
Morris,19
Phillips,19
Richards,16
Lloyd,15
Harris,13
Taylor,13
Parry,13
Powell,12
Brown,11
John,10
Watkins,9
Howells,8
Pritchard,9
Rogers,7
Hill,6
Hopkins,6
Ellis,6
Bowen,6
Johnson,6
Matthews,6
While,6
Wilson,6
Rowlands,6
Martin,6
Baker,5
Clarke,5
Bennett,5
Pugh,5
Green,5
Turner,5
Walters,5
Collins,5
Bevan,5
Wright,5
Hall,5
Llewellyn,4
Walker,4
Robinson,4
Allen,4
Francis,4
Young,4
Moore,4
Thompson,4
Lee,4
Owens,4
George,4
Cooper,4
Adams,4
Humphreys,4
Vaughan,4
Cook,4
Harries,4
Wood,4
Murphy,4
King,4,
Jackson,4
Stephens,4
Bale,4
