Name,Frequency
Min-Jun,9
Seo-Jun,7
Ju-Won,6
Ye-jun,6
Si-U,6
Do-Yun,6
Ji-Hu,6
Ji-Ho,6
Ha-Jun,5
Jun-Seo,5
Jun-U,5
Hyeon-u,5
Do-Hyeon,5
Ji-Hun,5
Geon-u,4
U-Jin,4
Seon-U,4
Min-Jae,4
Hyeon-jun,4
Seung-Hyeon,3
Jeong-U,3
Yu-Jun,3
Jun-Hyeok,3
Seung-U,3
Ji-Hwan,3
Seung-Min,3
Min-Seong,3
Yu-Chan,3
Jun-Yeong,3
Si-hu,3
Yun-u,3
Jin-U,3
Si-Won,2
Jae-Yun,2
Dong-Hyeon,2
Jae-Won,2
Tae-Yun,2
Han-Gyeol,2
Min-Gyu,2
Jae-Min,2
Eun-chan,2
Min-U,2
Yun-Ho,2
Min-Chan,2
Seong-Min,2
Seong-Hyeon,2
Su-Ho,2
Jun,2
Seung-Jun,2
Jun-Ho,2
Ye-Seong,2
Jae-Hyeon,2
Gyu-Min,2
Tae-Hyeon,2
Ji-Seong,2
Tae-Min,2
U-bin,2
Min-Hyeok,2
Min-Ho,2
Yun-Seong,2
Seong-Jun,2
Eun-Ho,2
Ji-Han,2
I-Jun,2
Yun-Jae,1
Min-Seok,1
Jun-Su,1
Do-Yeong,1
Tae-Yang,1
Ye-Chan,1
Hyeon-Su,1
Seung-Won,1
Jun-Seong,1
Gyeong-Min,1
Do-Hun,1
Ji-Wan,1
Seong-Bin,1
Geon,1
Seung-Ho,1
Gang-min,1
Tae-Jun,1
U-Ju,1
Geon-Hui,1
Min-Su,1
Ju-Ho,1
U-hyeon,1
Ju-An,1
Tae-gyeong,1
Hyeon-Min,1
Ju-Hwan,1
Jeong-Hun,1
Tae-yeong,1
Won-Jun,1
Seung-Yun,1
Min-Gi,1
Hyeon-seong,1
Hyeon,1
Si-Hun,1
Dong-Ha,1
Jae-Yeong,1
