Name,Frequency
Kim,1978
Lee,1362
Pak,769
Chong,440
Choe,430
Cho,269
Yu,243
Kang,233
Yun,190
Chang,187
Im,185
Sin,180
Song,164
Chon,158
So,146
Han,145
Oh,145
Hwang,128
Kwon,128
An,128
Hong,106
Yang,97
Son,89
Ko,86
Mun,85
Pae,74
Paek,69
Ho,61
No,57
Chu,54
Nam,51
Sim,50
Ha,43
Ku,38
Kwak,37
Cha,37
Na,34
Chin,34
Min,32
Chi,30
Pyon,29
Om,26
Won,25
Pang,24
Chae,23
Kong,17
Hyon,16
Ham,15
Yo,15
Yom,13
Sok,11
To,11
Sol,8
Ma,7
Yon,7
Kil,6
Park,6
Wi,6
Pyo,6
Ki,5
Pan,5
Myong,5
Wang,5
Ok,5
Kum,5
In,4
Maeng,4
Yuk,4
Che,4
Mo,4
Tak,4
Namgung,4
Kuk,4
Choi,3
Kyong,3
Un,3
Yong,3
Ye,3
Pong,2
Sa,2
Pu,2
Ka,2
Mok,2
Tae,2
Hwangbo,2
Jung,2
Misang,2
Pok,2
Shin,2
Kye,1
Hyong,1
Pi,1
Kam,1
Um,1
Tu,1
Yoon,1
Tong,1
Pin,1
Jang,1
Lim,1
